# BEAST v10.5.0
# Generated Wed May 20 15:37:16 CEST 2026 [seed=1779284235057]
# -beagle -overwrite X_dist_04.xml
state	joint	prior	likelihood	rootHeight	treeLength	tmrca(untitled0)	constant.popSize	kappa	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
93000	-10887.060864185443	2.600052191257963	-10889.6609163767	0.1789303160786928	0.42069773926245846	0.1789303160786928	0.10700760452459245	3.5476111994323585	0.31143555381169485	1.0	1.0	-10889.6609163767	0.0	9.642394475964343
94000	-10884.109830393	4.012186576654692	-10888.122016969653	0.16692802890418879	0.3940272389773145	0.16692802890418879	0.06204060787943645	3.1061315603236253	0.3537609877693521	1.0	1.0	-10888.122016969653	0.0	10.444676749640456
95000	-10886.007635215432	4.3584819043974345	-10890.36611711983	0.16381139792804908	0.38348024173949247	0.16381139792804908	0.05549207754445695	2.9290226226092395	0.42715530034140525	1.0	1.0	-10890.36611711983	0.0	10.763698969982785
96000	-10886.793909589116	2.5522562120917467	-10889.346165801207	0.2028925858063231	0.47107813651871877	0.2028925858063231	0.040784208127867164	3.296414345635718	0.28348154179878127	1.0	1.0	-10889.346165801207	0.0	8.490755419335255
97000	-10889.823397351289	3.2564922862214036	-10893.07988963751	0.15538443595024526	0.36830464615259656	0.15538443595024526	0.09654683200660785	3.3048674633489363	0.39231438834720234	1.0	1.0	-10893.07988963751	0.0	10.276463686809437
98000	-10887.834021065128	2.444501357982409	-10890.27852242311	0.21015504292415496	0.48580384465869425	0.21015504292415496	0.10272063511300943	3.4742768418595324	0.2497200095374027	1.0	1.0	-10890.27852242311	0.0	9.298254110862995
99000	-10885.838479972123	2.6779242520221986	-10888.516404224145	0.18413714044434926	0.428068059331149	0.18413714044434926	0.1060918764116072	3.4823330138185447	0.29725447953798667	1.0	1.0	-10888.516404224145	0.0	9.66169105635157
100000	-10885.101342065289	3.4621517338528847	-10888.563493799142	0.17419097324614	0.41177469501247577	0.17419097324614	0.07155613376608777	3.456548981156085	0.357620653489603	1.0	1.0	-10888.563493799142	0.0	10.164594652969868
101000	-10886.905517644054	3.771410053797096	-10890.676927697852	0.17811712531897625	0.41683257598046874	0.17811712531897625	0.05125185043131287	3.42413526300705	0.3651771109409812	1.0	1.0	-10890.676927697852	0.0	10.14470667975516
102000	-10886.858760560875	3.1149837779565646	-10889.973744338831	0.17657130226921808	0.41542108517881227	0.17657130226921808	0.0940430785823788	2.922771511426135	0.3729209573731084	1.0	1.0	-10889.973744338831	0.0	9.936518777372564
103000	-10888.554024812525	2.0067544646932562	-10890.560779277219	0.15695095940635148	0.37768834958612074	0.15695095940635148	0.02783614615206737	3.1336492538303906	0.347251078657393	1.0	1.0	-10890.560779277219	0.0	7.635136269226962
104000	-10885.26618243061	2.8853687244677966	-10888.151551155079	0.16780482853714024	0.3955256643238582	0.16780482853714024	0.032389725850419035	3.0629925132562206	0.34310681954890104	1.0	1.0	-10888.151551155079	0.0	8.632106038848352
105000	-10888.391826869865	3.20739887853114	-10891.599225748396	0.15759028603808156	0.380198666077695	0.15759028603808156	0.03861814336462647	3.0433806387780207	0.4275073282653525	1.0	1.0	-10891.599225748396	0.0	9.291747437826283
106000	-10887.446699116266	3.6063449479460203	-10891.053044064212	0.17935892238355644	0.4188496910639836	0.17935892238355644	0.04120132460391629	3.295058286685183	0.2665404170505436	1.0	1.0	-10891.053044064212	0.0	9.52066541858146
107000	-10887.355419291229	2.9815162302389604	-10890.336935521467	0.2114229531078939	0.4861264312862403	0.2114229531078939	0.08847472844643577	2.9263278962855797	0.2893871160445211	1.0	1.0	-10890.336935521467	0.0	9.576275979817439
108000	-10886.266281517057	3.0592466897954136	-10889.325528206853	0.2100969385413211	0.48462172817813276	0.2100969385413211	0.07455874496900604	3.6137112302547143	0.2669128355458677	1.0	1.0	-10889.325528206853	0.0	9.673275715395745
109000	-10889.162408057486	1.8457037206316746	-10891.008111778117	0.1836247077124551	0.4292638396614215	0.1836247077124551	0.13519034327621388	3.067837334638472	0.33922239887415095	1.0	1.0	-10891.008111778117	0.0	9.01389066224802
110000	-10884.420037845455	3.008656403623765	-10887.42869424908	0.1888193211638733	0.4395693307878955	0.1888193211638733	0.09516173123585603	3.2821858188504027	0.2827330023523106	1.0	1.0	-10887.42869424908	0.0	9.787294979089664
111000	-10885.071081659755	3.404384039052948	-10888.475465698808	0.17099240602615598	0.40214334043578	0.17099240602615598	0.08658657488031576	3.3345975997642254	0.3289652426634613	1.0	1.0	-10888.475465698808	0.0	10.198973896879304
